
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp1
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 57 | valid ndcg@100: 0.4524 | best valid: 0.4533 | train ndcg@100: 0.6793
epoch 58 | valid ndcg@100: 0.4536 | best valid: 0.4536 | train ndcg@100: 0.6798
epoch 59 | valid ndcg@100: 0.4532 | best valid: 0.4536 | train ndcg@100: 0.6803
epoch 60 | valid ndcg@100: 0.4536 | best valid: 0.4536 | train ndcg@100: 0.6806
epoch 61 | valid ndcg@100: 0.4530 | best valid: 0.4536 | train ndcg@100: 0.6813
epoch 62 | valid ndcg@100: 0.4533 | best valid: 0.4536 | train ndcg@100: 0.6820
epoch 63 | valid ndcg@100: 0.4531 | best valid: 0.4536 | train ndcg@100: 0.6820
epoch 64 | valid ndcg@100: 0.4535 | best valid: 0.4536 | train ndcg@100: 0.6823
epoch 65 | valid ndcg@100: 0.4537 | best valid: 0.4537 | train ndcg@100: 0.6826
epoch 66 | valid ndcg@100: 0.4539 | best valid: 0.4539 | train ndcg@100: 0.6832
epoch 67 | valid ndcg@100: 0.4536 | best valid: 0.4539 | train ndcg@100: 0.6834
epoch 68 | valid ndcg@100: 0.4549 | best valid: 0.4549 | train ndcg@100: 0.6837
epoch 69 | valid ndcg@100: 0.4547 | best valid: 0.4549 | train ndcg@100: 0.6844
epoch 70 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6849
epoch 71 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6855
epoch 72 | valid ndcg@100: 0.4540 | best valid: 0.4549 | train ndcg@100: 0.6850
epoch 73 | valid ndcg@100: 0.4540 | best valid: 0.4549 | train ndcg@100: 0.6858
epoch 74 | valid ndcg@100: 0.4545 | best valid: 0.4549 | train ndcg@100: 0.6859
epoch 75 | valid ndcg@100: 0.4543 | best valid: 0.4549 | train ndcg@100: 0.6862
epoch 76 | valid ndcg@100: 0.4549 | best valid: 0.4549 | train ndcg@100: 0.6867
epoch 77 | valid ndcg@100: 0.4549 | best valid: 0.4549 | train ndcg@100: 0.6874
epoch 78 | valid ndcg@100: 0.4540 | best valid: 0.4549 | train ndcg@100: 0.6874
epoch 79 | valid ndcg@100: 0.4547 | best valid: 0.4549 | train ndcg@100: 0.6876
epoch 80 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6878
epoch 81 | valid ndcg@100: 0.4544 | best valid: 0.4549 | train ndcg@100: 0.6881
epoch 82 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6886
epoch 83 | valid ndcg@100: 0.4540 | best valid: 0.4549 | train ndcg@100: 0.6882
epoch 84 | valid ndcg@100: 0.4537 | best valid: 0.4549 | train ndcg@100: 0.6889
epoch 85 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6889
epoch 86 | valid ndcg@100: 0.4534 | best valid: 0.4549 | train ndcg@100: 0.6893
epoch 87 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6894
epoch 88 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6889
epoch 89 | valid ndcg@100: 0.4538 | best valid: 0.4549 | train ndcg@100: 0.6894
epoch 90 | valid ndcg@100: 0.4531 | best valid: 0.4549 | train ndcg@100: 0.6894
epoch 91 | valid ndcg@100: 0.4542 | best valid: 0.4549 | train ndcg@100: 0.6896
epoch 92 | valid ndcg@100: 0.4536 | best valid: 0.4549 | train ndcg@100: 0.6899
epoch 93 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6901
epoch 94 | valid ndcg@100: 0.4538 | best valid: 0.4549 | train ndcg@100: 0.6904
epoch 95 | valid ndcg@100: 0.4534 | best valid: 0.4549 | train ndcg@100: 0.6907
epoch 96 | valid ndcg@100: 0.4547 | best valid: 0.4549 | train ndcg@100: 0.6905
epoch 97 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6907
epoch 98 | valid ndcg@100: 0.4538 | best valid: 0.4549 | train ndcg@100: 0.6904
epoch 99 | valid ndcg@100: 0.4529 | best valid: 0.4549 | train ndcg@100: 0.6904
epoch 100 | valid ndcg@100: 0.4549 | best valid: 0.4549 | train ndcg@100: 0.6910
epoch 101 | valid ndcg@100: 0.4537 | best valid: 0.4549 | train ndcg@100: 0.6908
epoch 102 | valid ndcg@100: 0.4537 | best valid: 0.4549 | train ndcg@100: 0.6913
epoch 103 | valid ndcg@100: 0.4531 | best valid: 0.4549 | train ndcg@100: 0.6912
epoch 104 | valid ndcg@100: 0.4528 | best valid: 0.4549 | train ndcg@100: 0.6909
epoch 105 | valid ndcg@100: 0.4529 | best valid: 0.4549 | train ndcg@100: 0.6909
epoch 106 | valid ndcg@100: 0.4541 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 107 | valid ndcg@100: 0.4530 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 108 | valid ndcg@100: 0.4531 | best valid: 0.4549 | train ndcg@100: 0.6917
epoch 109 | valid ndcg@100: 0.4537 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 110 | valid ndcg@100: 0.4527 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 111 | valid ndcg@100: 0.4534 | best valid: 0.4549 | train ndcg@100: 0.6919
epoch 112 | valid ndcg@100: 0.4527 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 113 | valid ndcg@100: 0.4527 | best valid: 0.4549 | train ndcg@100: 0.6915
epoch 114 | valid ndcg@100: 0.4531 | best valid: 0.4549 | train ndcg@100: 0.6912
epoch 115 | valid ndcg@100: 0.4526 | best valid: 0.4549 | train ndcg@100: 0.6914
epoch 116 | valid ndcg@100: 0.4527 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 117 | valid ndcg@100: 0.4530 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 118 | valid ndcg@100: 0.4528 | best valid: 0.4549 | train ndcg@100: 0.6920
epoch 119 | valid ndcg@100: 0.4519 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 120 | valid ndcg@100: 0.4523 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 121 | valid ndcg@100: 0.4521 | best valid: 0.4549 | train ndcg@100: 0.6915
epoch 122 | valid ndcg@100: 0.4525 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 123 | valid ndcg@100: 0.4522 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 124 | valid ndcg@100: 0.4521 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 125 | valid ndcg@100: 0.4525 | best valid: 0.4549 | train ndcg@100: 0.6919
epoch 126 | valid ndcg@100: 0.4523 | best valid: 0.4549 | train ndcg@100: 0.6919
epoch 127 | valid ndcg@100: 0.4523 | best valid: 0.4549 | train ndcg@100: 0.6917
epoch 128 | valid ndcg@100: 0.4520 | best valid: 0.4549 | train ndcg@100: 0.6915
epoch 129 | valid ndcg@100: 0.4515 | best valid: 0.4549 | train ndcg@100: 0.6914
epoch 130 | valid ndcg@100: 0.4523 | best valid: 0.4549 | train ndcg@100: 0.6918
